ReporterISO3,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeValue in 1000 USD
CAN,Canada,BRA,Brazil,2001,Export,592645.388
CAN,Canada,CHN,China,2001,Export,2570629.131
CAN,Canada,DEU,Germany,2001,Export,1753216.191
CAN,Canada,EUN,European Union,2001,Export,16630550.23
CAN,Canada,FRA,France,2001,Export,1320764.825
CAN,Canada,GBR,United Kingdom,2001,Export,3071978.244
CAN,Canada,IDN,Indonesia,2001,Export,293448.098
CAN,Canada,IND,India,2001,Export,431030.406
CAN,Canada,ITA,Italy,2001,Export,1027274.109
CAN,Canada,JPN,Japan,2001,Export,5343944.669
CAN,Canada,KOR,"Korea, Rep.",2001,Export,1284434.445
CAN,Canada,MEX,Mexico,2001,Export,1710023.344
CAN,Canada,RUS,Russian Federation,2001,Export,180648.468
CAN,Canada,SAU,Saudi Arabia,2001,Export,210924.191
CAN,Canada,TUR,Turkey,2001,Export,109097.214
CAN,Canada,USA,United States,2001,Export,210192400.763
CAN,Canada,ZAF,South Africa,2001,Export,117951.491
CHN,China,ARG,Argentina,2001,Export,573695.719
CHN,China,AUS,Australia,2001,Export,3569445.889
CHN,China,BRA,Brazil,2001,Export,1350925.018
CHN,China,CAN,Canada,2001,Export,3345577.043
CHN,China,DEU,Germany,2001,Export,9751099.988
CHN,China,EUN,European Union,2001,Export,73429975.926
CHN,China,FRA,France,2001,Export,3701082.564
CHN,China,GBR,United Kingdom,2001,Export,6780522.858
CHN,China,IDN,Indonesia,2001,Export,2835706.342
CHN,China,IND,India,2001,Export,1895832.787
CHN,China,ITA,Italy,2001,Export,3991554.91
CHN,China,JPN,Japan,2001,Export,44940523.792
CHN,China,KOR,"Korea, Rep.",2001,Export,12518777.838
CHN,China,MEX,Mexico,2001,Export,1790216.774
CHN,China,RUS,Russian Federation,2001,Export,2710471.97
CHN,China,SAU,Saudi Arabia,2001,Export,1354114.676
CHN,China,TUR,Turkey,2001,Export,674006.603
CHN,China,USA,United States,2001,Export,54355080.203
CHN,China,ZAF,South Africa,2001,Export,1048574.038
DEU,Germany,ARG,Argentina,2001,Export,996925.0
DEU,Germany,AUS,Australia,2001,Export,3196680.0
DEU,Germany,BRA,Brazil,2001,Export,5027010.0
DEU,Germany,CAN,Canada,2001,Export,4585309.0
DEU,Germany,CHN,China,2001,Export,10714927.0
DEU,Germany,FRA,France,2001,Export,61235632.0
